// 06/01/2023 16:51:23
// ReaderName=169.254.1.1, AntennaIDs=1,2,3,4, InventoryMode=SingleTarget, ModeIndex=1000, Population=32, PowerInDbm=30, Session=1
// Timestamp, EPC, TID, Antenna, RSSI, Frequency, Hostname, PhaseAngle, DopplerFrequency
2023-01-06T17:27:18.6412970+01:00;AD3830770CCDD0AD383002B9;;1;-68,5;865,7;169.254.1.1;;
2023-01-06T17:27:18.6429500+01:00;AD3830770CCDD0AD383001E2;;1;-70;865,7;169.254.1.1;;
2023-01-06T17:27:18.6444840+01:00;AD3830770CCDD0AD38300424;;1;-71;865,7;169.254.1.1;;
2023-01-06T17:27:18.6464030+01:00;AD3830770CCDD0AD383001D6;;1;-68,5;865,7;169.254.1.1;;
2023-01-06T17:27:18.6501670+01:00;AD3830770CCDD0AD3830032C;;1;-66,5;865,7;169.254.1.1;;
2023-01-06T17:27:18.6517050+01:00;AD3830770CCDD0AD3830041B;;1;-72,5;865,7;169.254.1.1;;
2023-01-06T17:27:18.6532700+01:00;AD3830770CCDD0AD3830027B;;1;-70;865,7;169.254.1.1;;
2023-01-06T17:27:18.6554890+01:00;AD3830770CCDD0AD3830033A;;1;-67;865,7;169.254.1.1;;
2023-01-06T17:27:18.6596160+01:00;AD3830770CCDD0AD3830035B;;1;-70,5;865,7;169.254.1.1;;
2023-01-06T17:27:18.6612770+01:00;AD3830770CCDD0AD383001EF;;1;-70;865,7;169.254.1.1;;
2023-01-06T17:27:18.6630920+01:00;AD3830770CCDD0AD3830029C;;1;-61,5;865,7;169.254.1.1;;
2023-01-06T17:27:18.6654850+01:00;AD3830770CCDD0AD383002DB;;1;-64;865,7;169.254.1.1;;
2023-01-06T17:27:18.6674870+01:00;AD3830770CCDD0AD38300370;;1;-71;865,7;169.254.1.1;;
2023-01-06T17:27:18.6692040+01:00;AD3830770CCDD0AD3830046A;;1;-74;865,7;169.254.1.1;;
2023-01-06T17:27:18.6707510+01:00;AD3830770CCDD0AD38300350;;1;-68;865,7;169.254.1.1;;
2023-01-06T17:27:18.6815460+01:00;AD3830770CCDD0AD383001EE;;1;-75;865,7;169.254.1.1;;
2023-01-06T17:27:18.6885910+01:00;AD3830770CCDD0AD3830032F;;1;-75;865,7;169.254.1.1;;
2023-01-06T17:27:18.6943360+01:00;AD3830770CCDD0AD383003A1;;1;-75;865,7;169.254.1.1;;
2023-01-06T17:27:18.7085060+01:00;AD3830770CCDD0AD38300368;;2;-66;865,7;169.254.1.1;;
2023-01-06T17:27:18.7101730+01:00;AD3830770CCDD0AD3830031A;;2;-71;865,7;169.254.1.1;;
2023-01-06T17:27:18.7150070+01:00;AD3830770CCDD0AD38300308;;2;-65,5;865,7;169.254.1.1;;
2023-01-06T17:27:18.7482630+01:00;AD3830770CCDD0AD383001BE;;2;-73;865,7;169.254.1.1;;
2023-01-06T17:27:18.7540750+01:00;AD3830770CCDD0AD383003F6;;2;-74,5;865,7;169.254.1.1;;
2023-01-06T17:27:18.7630810+01:00;AD3830770CCDD0AD383004A5;;2;-74,5;865,7;169.254.1.1;;
2023-01-06T17:27:18.7769920+01:00;AD3830770CCDD0AD383003A1;;3;-66;865,7;169.254.1.1;;
2023-01-06T17:27:18.7782760+01:00;AD3830770CCDD0AD3830021C;;3;-67;865,7;169.254.1.1;;
2023-01-06T17:27:18.7793340+01:00;AD3830770CCDD0AD383002E0;;3;-68;865,7;169.254.1.1;;
2023-01-06T17:27:18.7803720+01:00;AD3830770CCDD0AD3830034B;;3;-64;865,7;169.254.1.1;;
2023-01-06T17:27:18.7933650+01:00;AD3830770CCDD0AD383002A8;;3;-70;865,7;169.254.1.1;;
2023-01-06T17:27:18.8083860+01:00;AD3830770CCDD0AD383002E7;;3;-74,5;865,7;169.254.1.1;;
2023-01-06T17:27:18.8196840+01:00;AD3830770CCDD0AD383002EB;;3;-73;865,7;169.254.1.1;;
2023-01-06T17:27:18.8348160+01:00;AD3830770CCDD0AD38300314;;3;-69;865,7;169.254.1.1;;
2023-01-06T17:27:18.8623540+01:00;AD3830770CCDD0AD383004A9;;4;-71;865,7;169.254.1.1;;
2023-01-06T17:27:18.8737610+01:00;AD3830770CCDD0AD38300343;;4;-73,5;865,7;169.254.1.1;;
2023-01-06T17:27:18.8885360+01:00;AD3830770CCDD0AD383003B7;;4;-70,5;865,7;169.254.1.1;;
2023-01-06T17:27:18.9166950+01:00;AD3830770CCDD0AD3830021A;;1;-74;865,7;169.254.1.1;;
2023-01-06T17:27:18.9344720+01:00;AD3830770CCDD0AD3830039C;;1;-73;865,7;169.254.1.1;;
2023-01-06T17:27:18.9456860+01:00;AD3830770CCDD0AD38300246;;1;-73;865,7;169.254.1.1;;
2023-01-06T17:27:19.0038770+01:00;AD3830770CCDD0AD38300453;;2;-72,5;865,7;169.254.1.1;;
2023-01-06T17:27:19.0134840+01:00;AD3830770CCDD0AD383004A5;;2;-75;865,7;169.254.1.1;;
2023-01-06T17:27:19.0263580+01:00;AD3830770CCDD0AD38300312;;2;-74,5;865,7;169.254.1.1;;
2023-01-06T17:27:19.0385850+01:00;AD3830770CCDD0AD38300314;;3;-67,5;865,7;169.254.1.1;;
2023-01-06T17:27:19.0684170+01:00;AD3830770CCDD0AD383001BD;;3;-76;865,7;169.254.1.1;;
2023-01-06T17:27:19.0779930+01:00;AD3830770CCDD0AD383002A0;;3;-75,5;865,7;169.254.1.1;;
2023-01-06T17:27:19.1354230+01:00;AD3830770CCDD0AD383003B7;;4;-71,5;865,7;169.254.1.1;;
